#convergence_speed
0 0
10663.193531 0.0002720228887228 (645/2371124)
10723.245289 0.0002719111210394 (650/2390487)
10783.296070 0.0002726021519339 (655/2402769)
10843.314625 0.0002725397181078 (658/2414327)
10903.368336 0.0002716812119868 (659/2425637)
10963.400562 0.0002726076831094 (665/2439403)
11023.443531 0.0002728083478539 (669/2452271)
11083.494312 0.0002737902426025 (675/2465391)
11143.547047 0.0002735808096378 (678/2478244)
11203.572437 0.0002737805724985 (682/2491046)
11263.600758 0.0002736052423563 (685/2503607)
11323.601734 0.0002735224322187 (688/2515333)
11383.640797 0.0002723254581284 (690/2533733)
11443.701344 0.0002743772832881 (699/2547587)
11503.735523 0.0002743351470152 (703/2562559)
11563.789234 0.0002739752569729 (707/2580525)
11623.826344 0.0002744110183732 (712/2594648)
11683.853687 0.0002728654125844 (712/2609345)
11743.882008 0.0002741011146396 (717/2615823)
11803.920094 0.0002755543342527 (724/2627431)
11863.960133 0.0002747517502669 (727/2646025)
11924.007984 0.0002750427143969 (731/2657769)
11984.054859 0.0002749322394895 (735/2673386)
12044.103687 0.0002739368106684 (736/2686751)
12104.119312 0.0002734940249512 (739/2702070)
12164.150562 0.0002739382041068 (744/2715941)
12224.199390 0.0002749352305455 (749/2724278)
12284.227711 0.0002749631432382 (752/2734912)
12344.262867 0.0002747448693670 (755/2748004)
12404.297047 0.0002744619154260 (759/2765411)
12464.349781 0.0002744147287700 (763/2780463)
12524.391773 0.0002737359482213 (765/2794664)
12584.438648 0.0002742533194816 (769/2803977)
12644.489429 0.0002742193285148 (771/2811618)
12704.491383 0.0002744544775161 (776/2827427)
12764.546070 0.0002745726654089 (778/2833494)
12824.599781 0.0002746383136644 (780/2840099)
12884.649586 0.0002745422542619 (783/2852020)
12944.677906 0.0002759081802754 (789/2859647)
13004.734547 0.0002763064276610 (793/2870002)
13064.769703 0.0002766036678965 (797/2881379)
13124.815601 0.0002762574982328 (800/2895849)
13184.853687 0.0002759134435819 (803/2910333)
13244.918140 0.0002763617657601 (808/2923704)
13304.947437 0.0002756322698011 (810/2938698)
13364.968922 0.0002758270151214 (814/2951125)
13425.004078 0.0002766430912774 (820/2964108)
13485.039234 0.0002780374923641 (827/2974419)
13545.098804 0.0002785705580384 (832/2986676)
13605.115406 0.0002782109400023 (833/2994131)
13665.157398 0.0002771714306959 (835/3012576)
13725.171070 0.0002781235490285 (841/3023836)
13785.191578 0.0002785860211725 (846/3036764)
13845.215992 0.0002791615574525 (851/3048414)
13905.244312 0.0002791976500320 (854/3058765)
13965.282398 0.0002791842867135 (857/3069657)
14025.318531 0.0002777704935865 (858/3088881)
14085.366383 0.0002772208497125 (861/3105827)
14145.421070 0.0002755136155505 (862/3128702)
14205.479664 0.0002749416583337 (865/3146122)
14265.530445 0.0002749944304925 (869/3160064)
14325.570484 0.0002754161405229 (872/3166118)
14385.631031 0.0002747777883972 (874/3180752)
14445.667164 0.0002746963618550 (877/3192616)
14505.724781 0.0002747158408022 (880/3203310)
14565.734547 0.0002748499530919 (883/3212662)
14625.796070 0.0002745441204177 (886/3227168)
14685.838062 0.0002739776802399 (887/3237490)
14745.885914 0.0002747038935047 (893/3250773)
14805.921070 0.0002743009157666 (895/3262840)
14865.970875 0.0002741906871042 (898/3275093)
14926.007008 0.0002741000331710 (904/3298066)
14986.019703 0.0002747672573053 (908/3304615)
15046.047047 0.0002741283457455 (909/3315965)
15106.098804 0.0002749678302664 (915/3327662)
15166.129078 0.0002742758803046 (918/3346995)
15226.170094 0.0002747782964400 (924/3362711)
15286.213062 0.0002744244405719 (928/3381623)
15346.257008 0.0002740943991709 (931/3396640)
15406.294117 0.0002746083156337 (934/3401208)
15466.295094 0.0002745416313346 (936/3409319)
15526.334156 0.0002749150933061 (941/3422875)
15586.381031 0.0002754992261029 (948/3441026)
15646.415211 0.0002745119025063 (949/3457045)
15706.458179 0.0002742576102886 (952/3471189)
15766.481617 0.0002744707662740 (954/3475780)
15826.540211 0.0002753365559183 (960/3486642)
15886.546070 0.0002752583870202 (963/3498531)
15946.578297 0.0002756189681657 (968/3512095)
16006.584156 0.0002750115178793 (970/3527125)
16066.585133 0.0002742625627647 (971/3540403)
16126.606617 0.0002745741000510 (974/3547312)
16186.670094 0.0002744629870666 (978/3563322)
16246.711109 0.0002748236874510 (982/3573200)
16306.747242 0.0002749550301976 (985/3582404)
16366.800953 0.0002741294374703 (986/3596841)
16426.830250 0.0002742154974092 (991/3613946)
16486.877125 0.0002740603026409 (994/3626939)
16546.937672 0.0002741309471568 (997/3636948)
16606.980640 0.0002734922438367 (998/3649098)
16667.027515 0.0002732905742901 (1000/3659109)
16727.054859 0.0002737128272627 (1004/3668078)
16787.088062 0.0002737784911787 (1007/3678156)
16847.146656 0.0002742838805640 (1012/3689608)
16907.148609 0.0002741297594296 (1016/3706274)
16967.187672 0.0002744351546052 (1020/3716725)
17027.197437 0.0002752981546160 (1025/3723236)
17087.259937 0.0002748783656541 (1027/3736198)
17147.320484 0.0002752232351410 (1031/3746050)
17207.324390 0.0002753183850967 (1035/3759284)
17267.377125 0.0002750858681731 (1037/3769732)
17327.416187 0.0002748236658356 (1039/3780606)
17387.463062 0.0002749849708310 (1042/3789298)
17447.504078 0.0002750048920402 (1047/3807205)
17507.509937 0.0002748042216210 (1050/3820902)
17567.531422 0.0002747358013853 (1054/3836413)
17627.566578 0.0002746366661035 (1055/3841439)
17687.619312 0.0002738255451229 (1056/3856470)
17747.677906 0.0002742343279346 (1061/3868954)
17807.738453 0.0002740279220030 (1064/3882816)
17867.775562 0.0002739995683674 (1069/3901466)
17927.789234 0.0002741505421180 (1073/3913908)
17987.797047 0.0002735779487003 (1074/3925755)
18047.849781 0.0002736308991024 (1077/3935959)
18107.851734 0.0002740061757948 (1080/3941517)
18167.863453 0.0002742169245774 (1083/3949428)
18227.918140 0.0002737377375702 (1086/3967301)
18287.968922 0.0002743275893847 (1091/3976997)
18348.017750 0.0002741058956592 (1093/3987510)
18408.078297 0.0002740227211132 (1095/3996019)
18468.129078 0.0002741733672976 (1100/4012060)
18528.179859 0.0002735665966009 (1103/4031925)
18588.228687 0.0002743994018143 (1109/4041554)
18648.275562 0.0002746851045961 (1114/4055553)
18708.322437 0.0002744503239991 (1115/4062666)
18768.367359 0.0002740367925674 (1117/4076095)
18828.420094 0.0002733621317160 (1118/4089813)
18888.472828 0.0002734647767862 (1122/4102905)
18948.474781 0.0002736146980178 (1126/4115276)
19008.476734 0.0002735700994908 (1129/4126913)
19068.529469 0.0002729805364152 (1129/4135826)
19128.588062 0.0002727483443549 (1132/4150346)
19188.599781 0.0002727567440006 (1135/4161217)
19248.605640 0.0002724176636762 (1138/4177409)
19308.607594 0.0002722414201601 (1141/4191133)
19368.609547 0.0002717955717499 (1145/4212725)
19428.650562 0.0002710301415790 (1146/4228312)
19488.654469 0.0002717372715738 (1152/4239389)
19548.705250 0.0002718941212304 (1156/4251655)
19608.711109 0.0002721325266637 (1160/4262629)
19668.720875 0.0002721187757510 (1163/4273869)
19728.736500 0.0002723166657799 (1167/4285452)
19788.789234 0.0002724221472221 (1170/4294805)
19848.838062 0.0002717903196769 (1173/4315827)
19908.898609 0.0002708679451971 (1176/4341599)
19968.953297 0.0002712634606740 (1181/4353701)
20029.007984 0.0002713453573245 (1184/4363443)
20089.015797 0.0002713954041427 (1188/4377377)
20149.074390 0.0002712074058067 (1191/4391473)
20209.123219 0.0002717024616835 (1194/4394513)
20269.125172 0.0002713321592985 (1197/4411567)
20329.181812 0.0002709344955926 (1198/4421733)
20389.193531 0.0002707043849610 (1203/4443962)
20449.250172 0.0002706796078153 (1206/4455452)
20509.285328 0.0002700136729376 (1207/4470144)
20569.338062 0.0002701557734698 (1211/4482599)
20629.400562 0.0002704586631958 (1216/4496066)
20689.447437 0.0002697618287012 (1216/4507680)
20749.451344 0.0002695717016498 (1219/4521988)
20809.494312 0.0002704522331942 (1226/4533148)
20869.513844 0.0002710441469754 (1232/4545385)
20929.517750 0.0002705852193481 (1236/4567877)
20989.576344 0.0002704633108551 (1239/4581028)
21049.580250 0.0002710657175299 (1244/4589293)
21109.631031 0.0002715919390818 (1251/4606175)
21169.632984 0.0002716995064126 (1254/4615393)
21229.693531 0.0002713888030761 (1258/4635416)
21289.744312 0.0002706896592468 (1260/4654777)
21349.754078 0.0002709043386454 (1265/4669545)
21409.816578 0.0002708281360531 (1268/4681936)
21469.824390 0.0002704941302561 (1272/4702505)
21529.884937 0.0002707071923318 (1277/4717274)
21589.945484 0.0002712223566707 (1283/4730436)
21650.006031 0.0002710885248544 (1285/4740149)
21710.041187 0.0002711600640174 (1288/4749962)
21770.097828 0.0002711977684538 (1292/4764051)
21830.148609 0.0002718955452249 (1299/4777570)
21890.199390 0.0002707821100368 (1299/4797215)
21950.252125 0.0002705007778197 (1301/4809598)
22010.312672 0.0002700881424258 (1303/4824351)
22070.371265 0.0002701364375168 (1306/4834594)
22130.416187 0.0002701454248501 (1310/4849240)
22190.474781 0.0002700600924873 (1312/4858178)
22250.533375 0.0002697962761138 (1315/4874048)
22310.568531 0.0002700107328755 (1319/4884991)
22370.625172 0.0002700888001269 (1321/4890984)
22430.675953 0.0002697143574208 (1324/4908897)
22490.736500 0.0002692318399060 (1325/4921409)
22550.793140 0.0002690836447521 (1330/4942701)
22610.853687 0.0002698083996848 (1336/4951662)
22670.896656 0.0002703719851106 (1342/4963532)
22730.945484 0.0002711395922696 (1349/4975297)
22790.949390 0.0002706243303301 (1350/4988465)
22850.957203 0.0002709668878463 (1355/5000611)
22911.017750 0.0002708607092325 (1359/5017339)
22971.023609 0.0002709616035679 (1363/5030233)
23031.082203 0.0002711788822471 (1367/5040953)
23091.136890 0.0002711716257095 (1370/5052151)
23151.181812 0.0002710983100155 (1371/5057206)
23211.183765 0.0002713073365960 (1376/5071739)
23271.240406 0.0002721981854899 (1382/5077183)
23331.244312 0.0002729337606674 (1388/5085483)
23391.300953 0.0002729099142227 (1391/5096920)
23451.359547 0.0002730732712003 (1394/5104857)
23511.412281 0.0002732152269085 (1397/5113185)
23571.457203 0.0002733248415994 (1401/5125769)
23631.513844 0.0002736190938288 (1407/5142185)
23691.560719 0.0002736715205244 (1412/5159470)
23751.562672 0.0002740813731747 (1418/5173646)
23811.564625 0.0002739181389285 (1422/5191332)
23871.568531 0.0002742979021304 (1427/5202373)
23931.631031 0.0002745623012922 (1432/5215574)
23991.642750 0.0002746621750947 (1435/5224600)
24051.674000 0.0002750109279654 (1442/5243428)
24111.675953 0.0002748329352633 (1444/5254101)
24171.730640 0.0002749238829436 (1447/5263275)
24231.791187 0.0002749545926986 (1451/5277235)
24291.853687 0.0002742385445011 (1453/5298307)
24351.916187 0.0002739816763463 (1456/5314224)
24411.918140 0.0002741205923936 (1459/5322475)
24471.920094 0.0002739069529463 (1462/5337579)
24531.972828 0.0002742355170537 (1466/5345770)
24592.029469 0.0002745142638172 (1470/5354913)
24652.039234 0.0002747426614299 (1476/5372300)
24712.086109 0.0002749498926563 (1481/5386436)
24772.129078 0.0002749221054035 (1485/5401530)
24832.177906 0.0002749728535867 (1489/5415080)
24892.226734 0.0002753407041530 (1493/5422373)
24952.279469 0.0002754328776333 (1497/5435081)
25012.322437 0.0002756509546846 (1502/5448920)
25072.367359 0.0002764240697175 (1508/5455386)
25132.375172 0.0002767375445669 (1511/5460047)
25192.425953 0.0002767202133979 (1515/5474844)
25252.488453 0.0002765445890323 (1517/5485553)
25312.537281 0.0002762050194034 (1519/5499538)
25372.588062 0.0002764343523736 (1524/5513063)
25432.609547 0.0002761674037155 (1528/5532876)
25492.650562 0.0002762000640380 (1532/5546704)
25552.654469 0.0002761167473447 (1534/5555621)
25612.699390 0.0002761721604815 (1538/5568990)
25672.703297 0.0002760910520358 (1542/5585114)
25732.709156 0.0002764250856748 (1547/5596453)
25792.765797 0.0002760041231345 (1549/5612235)
25852.804859 0.0002761267366603 (1553/5624229)
25912.857594 0.0002763336470557 (1557/5634493)
25972.918140 0.0002762259740950 (1560/5647550)
26032.961109 0.0002762198858550 (1565/5665776)
26092.972828 0.0002759659511838 (1569/5685484)
26153.033375 0.0002758194267062 (1572/5699381)
26213.086109 0.0002760898326637 (1577/5711909)
26273.148609 0.0002755276450436 (1578/5727193)
26333.195484 0.0002750216144361 (1580/5745003)
26393.252125 0.0002748836993793 (1584/5762437)
